t_min,t_max
52365.5093939,52365.5226009
52365.5487458,52365.5508412
52365.5888617,52365.6009686
52365.6418476,52365.6559227
52371.2565469,52371.2696957
52371.3369517,52371.3390472
52371.3985954,52371.4105868
52371.4673454,52371.4812468
52373.0275999,52373.0408068
52373.081535,52373.0836305
52373.1520791,52373.1641864
52373.2900998,52373.3041749
52389.0766625,52389.0847764
52389.088468,52389.096582
52389.1310258,52389.1391384
52398.3929706,52398.3990013
52402.1427162,52402.1508302
52402.1546721,52402.1627861
52402.1670566,52402.1751705
52402.9293132,52402.9374276
52402.9389892,52402.9471031
52402.9823782,52402.9904908
52410.3534569,52410.3594862
52428.8781332,52428.8862472
52428.9351469,52428.9432613
52428.9507025,52428.9588165
52441.002844,52441.0161665
52441.0691866,52441.0830876
52441.1359558,52441.1498572
52441.202728,52441.2166294
52459.9234692,52459.9315832
52459.9401011,52459.9482154
52459.9531799,52459.9612939
52460.0870574,52460.0943639
52462.9217333,52462.9234813
52466.6519414,52466.6652639
52466.7162703,52466.7301713
52466.89796,52466.9039906
52467.3014555,52467.314778
52467.3682029,52467.3821043
52475.1742218,52475.1889939
52475.240657,52475.2556028
52475.4597311,52475.4626395
52475.472127,52475.4721428
52479.5313977,52479.5321069
52479.5344303,52479.5351395
52479.5374625,52479.5381717
52479.5404952,52479.5412043
52479.5435274,52479.5442365
52479.5452751,52479.5459843
52479.5495922,52479.5503013
52479.55134,52479.5520491
52479.5556803,52479.5563895
52479.5587359,52479.559445
52479.5976596,52479.6017251
52486.53781,52486.5447665
52486.5486433,52486.5555999
52486.5618377,52486.5687943
52487.4924048,52487.4993613
52487.5394303,52487.5463869
52487.5519418,52487.5588984
52494.4202522,52494.4253684
52494.4271618,52494.4341184
52494.437914,52494.4448706
52497.5189326,52497.5236321
52497.5589325,52497.5658891
52497.5676825,52497.5746391
52498.6265485,52498.633505
52498.6435159,52498.6504725
52498.6532381,52498.6601947
52499.3522311,52499.3582851
52499.3608655,52499.3678221
52499.3696155,52499.3765721
52502.7775904,52502.784547
52502.8236204,52502.830577
52502.8323704,52502.8393273
52503.8987826,52503.9057392
52503.9585163,52503.9654729
52503.9670349,52503.9739914
52504.7979378,52504.8083666
52504.81016,52504.8177185
52504.8644423,52504.8734808
52508.8727526,52508.8797092
52508.9395,52508.946457
52508.9480185,52508.9549755
52509.2409123,52509.2478688
52509.2520234,52509.2589799
52509.2981111,52509.3050681
52509.4413855,52509.4483422
52509.4524966,52509.4594533
52509.498586,52509.5055425
52518.2703797,52518.2775707
52518.6816415,52518.6885981
52518.69016,52518.6971166
52518.6986785,52518.7056351
52519.3761204,52519.3832392
52519.3855534,52519.3934129
52519.3966297,52519.4058781
52523.749373,52523.7563296
52523.7615952,52523.7685518
52523.820426,52523.8308551
52524.5997897,52524.6060055
52524.6075674,52524.614524
52524.616086,52524.6230425
52532.3712252,52532.3781818
52532.4110724,52532.4180276
52532.419592,52532.4265472
52532.7334937,52532.7408003
52536.0732504,52536.080207
52536.0817689,52536.0887255
52536.0902875,52536.097244
52539.2452993,52539.2522559
52539.2540493,52539.2589918
52539.2697089,52539.2766655
52539.9526256,52539.9612488
52539.9628108,52539.9732396
52539.9748015,52539.9852303
52541.3673245,52541.372027
52543.2886208,52543.2939226
52546.8042575,52546.8146866
52546.8164797,52546.8234363
52546.8249982,52546.8330081
52571.048876,52571.0541774
52579.3430542,52579.3502448
52580.7943968,52580.8004274
52602.1554157,52602.1643401
52602.1675802,52602.1768516
52608.9660294,52608.9664837
52609.7753583,52609.7768082
